algorithm,precision,dims,iterations,s,nx,ny,nz,substrate_step,x_tile_size,init_time,time,std_dev
lstcstai,S,3,100,1,128,128,128,1,16,5,18093.72,604.3516208
lstcstai,S,3,100,1,128,128,128,1,16,5,18092.16,111.0870578
lstcstai,S,3,100,1,128,128,128,1,16,6,18347.62,67.66502494
lstcstai,S,3,100,1,128,128,128,1,16,5,18282.5,68.9887672
lstcstai,S,3,100,1,128,128,128,1,16,5,18272.44,77.04781892
lstcstai,S,3,100,1,150,150,150,1,16,5,27649.34,491.2588161
lstcstai,S,3,100,1,150,150,150,1,16,7,27518.6,160.6036114
lstcstai,S,3,100,1,150,150,150,1,16,7,27455.22,40.59521647
lstcstai,S,3,100,1,150,150,150,1,16,7,27388.12,50.5227236
lstcstai,S,3,100,1,150,150,150,1,16,7,27405.54,70.04290399
lstcstai,S,3,100,1,250,250,250,1,16,8,105290.56,1634.042021
lstcstai,S,3,100,1,250,250,250,1,16,11,105082.4,447.6186323
lstcstai,S,3,100,1,250,250,250,1,16,21,105224.54,119.8686298
lstcstai,S,3,100,1,250,250,250,1,16,10,105265.88,252.2438217
lstcstai,S,3,100,1,250,250,250,1,16,10,105295.98,491.2393913
lstcstai,S,3,100,1,300,300,300,1,16,9,159864.26,877.0657401
lstcstai,S,3,100,1,300,300,300,1,16,13,159349.42,228.7167759
lstcstai,S,3,100,1,300,300,300,1,16,13,159847.38,234.3709786
lstcstai,S,3,100,1,300,300,300,1,16,12,159692.14,788.816278
lstcstai,S,3,100,1,300,300,300,1,16,12,159938.86,245.3054431
lstcstai,S,3,100,1,600,600,600,1,16,20,2401808.18,577899.5015
lstcstai,S,3,100,1,600,600,600,1,16,26,2657561.5,262674.8651
lstcstai,S,3,100,1,600,600,600,1,16,23,2028829.38,374197.4651
lstcstai,S,3,100,1,600,600,600,1,16,24,2752230.8,172766.3673
lstcstai,S,3,100,1,600,600,600,1,16,25,2568565.34,240503.6164
lstcstai,S,3,100,1,800,800,800,1,16,25,6335337.56,1252033.898
lstcstai,S,3,100,1,800,800,800,1,16,32,5926860.72,1159321.823
lstcstai,S,3,100,1,800,800,800,1,16,30,6860957.84,728757.3215
lstcstai,S,3,100,1,800,800,800,1,16,29,8910984,175898.7022
lstcstai,S,3,100,1,800,800,800,1,16,30,8995110.74,254456.9604
lstcstai,S,3,100,1,200,200,200,1,16,6,48721.34,665.0802541
lstcstai,S,3,100,1,200,200,200,1,16,10,49210.36,438.5369202
lstcstai,S,3,100,1,200,200,200,1,16,9,49190.14,255.7526938
lstcstai,S,3,100,1,200,200,200,1,16,8,49165.88,207.0570588
lstcstai,S,3,100,1,200,200,200,1,16,8,49196.28,203.3174897
lstcstai,S,3,100,1,100,100,100,1,16,3,7723.82,526.6761696
lstcstai,S,3,100,1,100,100,100,1,16,4,7650.04,27.39705094
lstcstai,S,3,100,1,100,100,100,1,16,4,7663.08,36.89002033
lstcstai,S,3,100,1,100,100,100,1,16,8,7631.78,22.63651033
lstcstai,S,3,100,1,100,100,100,1,16,4,7646.42,28.55597311
lstcstai,S,3,100,1,450,450,450,1,16,18,522753.08,11377.46569
lstcstai,S,3,100,1,450,450,450,1,16,19,522384.86,13658.97177
lstcstai,S,3,100,1,450,450,450,1,16,18,471465.92,15415.26241
lstcstai,S,3,100,1,450,450,450,1,16,25,519019.48,1001.075027
lstcstai,S,3,100,1,450,450,450,1,16,20,521011.3,2028.053976
lstcstai,S,3,100,1,256,256,256,1,16,8,138358.38,5229.44968
lstcstai,S,3,100,1,256,256,256,1,16,10,137220.38,3597.633611
lstcstai,S,3,100,1,256,256,256,1,16,10,133911.32,5498.70681
lstcstai,S,3,100,1,256,256,256,1,16,13,139843.16,293.8733305
lstcstai,S,3,100,1,256,256,256,1,16,11,139358.82,264.2376726
lstcstai,S,3,100,1,400,400,400,1,16,15,383254.54,8851.629225
lstcstai,S,3,100,1,400,400,400,1,16,18,384944.3,14077.5009
lstcstai,S,3,100,1,400,400,400,1,16,18,382318.68,12594.74247
lstcstai,S,3,100,1,400,400,400,1,16,18,377463.76,1434.759765
lstcstai,S,3,100,1,400,400,400,1,16,17,377866.86,892.5123867
lstcstai,S,3,100,1,224,224,224,1,16,8,60275.4,4348.251883
lstcstai,S,3,100,1,224,224,224,1,16,8,57429.88,1560.624716
lstcstai,S,3,100,1,224,224,224,1,16,10,58438.38,1725.623538
lstcstai,S,3,100,1,224,224,224,1,16,33,56589.98,115.6168656
lstcstai,S,3,100,1,224,224,224,1,16,10,56876.94,122.0236715
lstcstai,S,3,100,1,550,550,550,1,16,19,1867403.78,282940.1982
lstcstai,S,3,100,1,550,550,550,1,16,21,1986929.72,59048.84988
lstcstai,S,3,100,1,550,550,550,1,16,25,1681910.38,392402.8493
lstcstai,S,3,100,1,550,550,550,1,16,24,1962108.04,53794.7218
lstcstai,S,3,100,1,550,550,550,1,16,23,1928816.72,138014.2782
lstcstai,S,3,100,1,64,64,64,1,64,3,6292.52,1023.77666
lstcstai,S,3,100,1,64,64,64,1,64,5,6157.64,26.04746437
lstcstai,S,3,100,1,64,64,64,1,64,6,6138.88,35.27074709
lstcstai,S,3,100,1,64,64,64,1,64,6,6151.1,27.14056005
lstcstai,S,3,100,1,64,64,64,1,64,3,6134.54,24.78080709
lstcstai,S,3,100,1,500,500,500,1,64,17,1317357.24,14373.9098
lstcstai,S,3,100,1,500,500,500,1,64,21,1210523.1,159525.7186
lstcstai,S,3,100,1,500,500,500,1,64,20,1304536.1,2946.713446
lstcstai,S,3,100,1,500,500,500,1,64,20,1041250.68,226789.28
lstcstai,S,3,100,1,500,500,500,1,64,32,1311234.62,3523.699805
lstcstai,S,3,100,1,1000,1000,1000,1,64,53,10971723.34,1652756.681
