algorithm,precision,dims,iterations,s,nx,ny,nz,substrate_step,init_time,time,std_dev
lstmfppai,D,3,100,1,1000,1000,1000,1,380,27782221.52,6832998.756
lstmfppai,D,3,100,1,1000,1000,1000,1,409,33231570.16,625509.8762
lstmfppai,D,3,100,1,50,50,50,1,99,3427.14,706.6160771
lstmfppai,D,3,100,1,50,50,50,1,114,3307.86,38.74739217
lstmfppai,D,3,100,1,50,50,50,1,126,3298.38,37.68123671
lstmfppai,D,3,100,1,50,50,50,1,132,3364.34,39.06743401
lstmfppai,D,3,100,1,50,50,50,1,125,3340.52,48.43644909
lstmfppai,D,3,100,1,288,288,288,1,132,210236.04,527.4145603
lstmfppai,D,3,100,1,288,288,288,1,105,210626.54,1084.310255
lstmfppai,D,3,100,1,288,288,288,1,105,210644.48,378.968824
lstmfppai,D,3,100,1,288,288,288,1,100,211350.86,10336.34012
lstmfppai,D,3,100,1,288,288,288,1,123,213437.04,1579.586388
lstmfppai,D,3,100,1,192,192,192,1,106,64591.98,999.6035112
lstmfppai,D,3,100,1,192,192,192,1,103,65625.42,207.7727691
lstmfppai,D,3,100,1,192,192,192,1,100,65170,197.2566856
lstmfppai,D,3,100,1,192,192,192,1,107,65205.88,161.2943446
lstmfppai,D,3,100,1,192,192,192,1,106,65119.18,149.0547134
lstmfppai,D,3,100,1,160,160,160,1,98,35847.02,384.0188792
lstmfppai,D,3,100,1,160,160,160,1,129,36458.42,63.27846079
lstmfppai,D,3,100,1,160,160,160,1,106,36456.34,77.99246374
lstmfppai,D,3,100,1,160,160,160,1,104,36441.84,77.89052831
lstmfppai,D,3,100,1,160,160,160,1,102,36450.26,72.07296581
lstmfppai,D,3,100,1,350,350,350,1,111,414535.68,1214.194012
lstmfppai,D,3,100,1,350,350,350,1,111,413606.5,755.9007673
lstmfppai,D,3,100,1,350,350,350,1,115,407319.66,23288.5494
lstmfppai,D,3,100,1,350,350,350,1,112,403552.74,459.9754259
lstmfppai,D,3,100,1,350,350,350,1,138,402670.48,566.2291141
lstmfppai,D,3,100,1,96,96,96,1,99,13027.22,388.456293
lstmfppai,D,3,100,1,96,96,96,1,138,13065.22,47.1980042
lstmfppai,D,3,100,1,96,96,96,1,129,13005.7,37.78584391
lstmfppai,D,3,100,1,96,96,96,1,128,12988.74,40.44344694
lstmfppai,D,3,100,1,96,96,96,1,141,13006.86,43.75340444
lstmfppai,D,3,100,1,128,128,128,1,96,25033.8,284.7033544
lstmfppai,D,3,100,1,128,128,128,1,142,25563.86,143.1688528
lstmfppai,D,3,100,1,128,128,128,1,96,25639.88,89.06910576
lstmfppai,D,3,100,1,128,128,128,1,109,25640.66,99.01365764
lstmfppai,D,3,100,1,128,128,128,1,101,25634.74,98.60117849
lstmfppai,D,3,100,1,150,150,150,1,100,34041.62,343.0640692
lstmfppai,D,3,100,1,150,150,150,1,124,34121.3,155.8353298
lstmfppai,D,3,100,1,150,150,150,1,121,34254.22,146.7151376
lstmfppai,D,3,100,1,150,150,150,1,100,34259.74,121.147482
lstmfppai,D,3,100,1,150,150,150,1,107,34335.28,119.2067179
lstmfppai,D,3,100,1,250,250,250,1,97,156001.7,423.0270086
lstmfppai,D,3,100,1,250,250,250,1,97,156578.84,218.4977217
lstmfppai,D,3,100,1,250,250,250,1,103,156579.3,1768.674365
lstmfppai,D,3,100,1,250,250,250,1,96,156248.74,223.3652444
lstmfppai,D,3,100,1,250,250,250,1,99,155985.92,179.5992027
lstmfppai,D,3,100,1,300,300,300,1,107,228495.82,788.2598224
lstmfppai,D,3,100,1,300,300,300,1,106,228346.34,252.047663
lstmfppai,D,3,100,1,300,300,300,1,115,228469.82,297.2379982
lstmfppai,D,3,100,1,300,300,300,1,115,228741.08,680.8864469
lstmfppai,D,3,100,1,300,300,300,1,112,229026.72,322.8789272
lstmfppai,D,3,100,1,600,600,600,1,115,3784370.08,1150502.776
lstmfppai,D,3,100,1,600,600,600,1,274,3970706.58,1198690.435
lstmfppai,D,3,100,1,600,600,600,1,258,4579435.68,1196278.072
lstmfppai,D,3,100,1,600,600,600,1,288,5187563.98,1260174.188
lstmfppai,D,3,100,1,600,600,600,1,230,5798493.68,248107.5452
lstmfppai,D,3,100,1,800,800,800,1,122,11262341.52,1973131.705
lstmfppai,D,3,100,1,800,800,800,1,381,14463450.7,1365688.152
lstmfppai,D,3,100,1,800,800,800,1,314,16586149.04,484030.1534
