algorithm,precision,dims,iterations,s,nx,ny,nz,substrate_step,x_tile_size,init_time,time,std_dev
lstcsta,S,3,100,1,64,64,64,1,16,4,7245.58,41.27667138
lstcsta,S,3,100,1,64,64,64,1,16,2,7230.08,46.22373416
lstcsta,S,3,100,1,500,500,500,1,16,18,1440961.48,11115.9508
lstcsta,S,3,100,1,500,500,500,1,16,20,1370906.66,64536.87357
lstcsta,S,3,100,1,500,500,500,1,16,20,1432649.62,4468.009427
lstcsta,S,3,100,1,500,500,500,1,16,21,1424796.58,25837.3469
lstcsta,S,3,100,1,500,500,500,1,16,19,1443456.2,16399.08542
lstcsta,S,3,100,1,1000,1000,1000,1,16,43,11803356.56,1870456.768
lstcsta,S,3,100,1,1000,1000,1000,1,16,38,13220055.42,3084406.85
lstcsta,S,3,100,1,1000,1000,1000,1,16,35,16971649.62,1213018.641
lstcsta,S,3,100,1,1000,1000,1000,1,16,38,17269865.2,193288.2633
lstcsta,S,3,100,1,1000,1000,1000,1,16,39,17354172.76,154143.1551
lstcsta,S,3,100,1,50,50,50,1,16,2,3395.16,317.5770999
lstcsta,S,3,100,1,50,50,50,1,16,4,3349.32,27.74702867
lstcsta,S,3,100,1,50,50,50,1,16,3,3338.78,16.37228145
lstcsta,S,3,100,1,50,50,50,1,16,2,3337.68,15.7878941
lstcsta,S,3,100,1,50,50,50,1,16,3,3334.56,14.22836603
lstcsta,S,3,100,1,288,288,288,1,16,10,194950.58,6344.034448
lstcsta,S,3,100,1,288,288,288,1,16,13,193514.32,325.9700256
lstcsta,S,3,100,1,288,288,288,1,16,12,192560.62,356.1713571
lstcsta,S,3,100,1,288,288,288,1,16,12,194416.3,2589.282011
lstcsta,S,3,100,1,288,288,288,1,16,12,192560.24,319.2476506
lstcsta,S,3,100,1,192,192,192,1,16,6,56606,1422.717231
lstcsta,S,3,100,1,192,192,192,1,16,8,55459.44,135.2199926
lstcsta,S,3,100,1,192,192,192,1,16,8,55583.06,428.7251992
lstcsta,S,3,100,1,192,192,192,1,16,7,55647.98,493.4153824
