algorithm,precision,dims,iterations,s,nx,ny,nz,empty,init_time,time,std_dev
lstcs,D,3,100,1,800,800,800,1,43,27184534.58,5205802.887
lstcs,D,3,100,1,800,800,800,1,42,26851448.4,5842878.103
lstcs,D,3,100,1,200,200,200,1,8,506609.4,4031.336587
lstcs,D,3,100,1,200,200,200,1,11,499571.76,319.6672995
lstcs,D,3,100,1,200,200,200,1,10,507205.14,4804.440101
lstcs,D,3,100,1,200,200,200,1,11,512195.82,2184.597599
lstcs,D,3,100,1,200,200,200,1,11,307914.08,141188.928
lstcs,D,3,100,1,100,100,100,1,3,34429.82,734.8031489
lstcs,D,3,100,1,100,100,100,1,5,33750.28,155.9684635
lstcs,D,3,100,1,100,100,100,1,5,33880.14,222.4438815
lstcs,D,3,100,1,100,100,100,1,6,33698.3,84.84768706
lstcs,D,3,100,1,100,100,100,1,5,33739.32,104.3947202
lstcs,D,3,100,1,450,450,450,1,19,2970491.62,1568763.279
lstcs,D,3,100,1,450,450,450,1,26,3292647.88,823676.7863
lstcs,D,3,100,1,450,450,450,1,24,5576418.22,138260.1963
lstcs,D,3,100,1,450,450,450,1,26,4317473.88,985092.4744
lstcs,D,3,100,1,450,450,450,1,28,6424773.22,108906.5199
lstcs,D,3,100,1,256,256,256,1,30,1282939.06,61469.96206
lstcs,D,3,100,1,256,256,256,1,16,1131525.98,206456.6386
lstcs,D,3,100,1,256,256,256,1,17,1312207.6,88944.24206
lstcs,D,3,100,1,256,256,256,1,17,997821.84,10531.38008
lstcs,D,3,100,1,256,256,256,1,15,775846.04,368694.4108
lstcs,D,3,100,1,400,400,400,1,16,2712102.6,1263815.711
lstcs,D,3,100,1,400,400,400,1,22,1974626.84,1074868.104
lstcs,D,3,100,1,400,400,400,1,26,2190476.28,1429477.501
lstcs,D,3,100,1,400,400,400,1,75,4373934.52,41163.91425
lstcs,D,3,100,1,400,400,400,1,22,2597069.68,1420257.201
lstcs,D,3,100,1,224,224,224,1,9,702548.94,6981.913962
lstcs,D,3,100,1,224,224,224,1,15,705591.66,3409.825847
lstcs,D,3,100,1,224,224,224,1,15,707199.16,3798.303597
lstcs,D,3,100,1,224,224,224,1,15,381252.64,116139.8402
lstcs,D,3,100,1,224,224,224,1,16,714121.06,3378.100149
lstcs,D,3,100,1,550,550,550,1,23,4337388.68,2229748.644
lstcs,D,3,100,1,550,550,550,1,31,5756308.16,3375711.138
lstcs,D,3,100,1,550,550,550,1,34,8946861.7,2953926.542
lstcs,D,3,100,1,550,550,550,1,30,9606298.78,2242530.713
lstcs,D,3,100,1,550,550,550,1,37,10364210.9,1160808.731
