algorithm,precision,dims,iterations,s,nx,ny,nz,substrate_step,x_tile_size,init_time,time,std_dev
lstcsta,S,3,100,1,150,150,150,1,16,9,40046.54,259.3648558
lstcsta,S,3,100,1,150,150,150,1,16,7,39994.3,113.0686959
lstcsta,S,3,100,1,250,250,250,1,16,11,398466.38,6030.801389
lstcsta,S,3,100,1,250,250,250,1,16,15,395120.72,793.3521044
lstcsta,S,3,100,1,250,250,250,1,16,13,404061.46,880.8779078
lstcsta,S,3,100,1,250,250,250,1,16,13,401366.74,1268.332824
lstcsta,S,3,100,1,250,250,250,1,16,14,399297.78,1881.511311
lstcsta,S,3,100,1,300,300,300,1,16,12,528928.18,4936.315637
lstcsta,S,3,100,1,300,300,300,1,16,16,528215.04,319.6108859
lstcsta,S,3,100,1,300,300,300,1,16,14,532687.58,12841.02832
lstcsta,S,3,100,1,300,300,300,1,16,15,526156.94,342.2791498
lstcsta,S,3,100,1,300,300,300,1,16,14,442776.82,37849.55771
lstcsta,S,3,100,1,600,600,600,1,16,23,2926588.2,1547834.53
lstcsta,S,3,100,1,600,600,600,1,16,27,2837590.04,1418695.291
lstcsta,S,3,100,1,600,600,600,1,16,26,5128924.62,1827407.441
lstcsta,S,3,100,1,600,600,600,1,16,29,6047351.68,148342.2032
lstcsta,S,3,100,1,600,600,600,1,16,26,5616721.38,536042.9789
lstcsta,S,3,100,1,800,800,800,1,16,37,6769603.74,1923364.106
lstcsta,S,3,100,1,800,800,800,1,16,52,9303126.04,3104751.148
lstcsta,S,3,100,1,800,800,800,1,16,41,13324601.78,1803202.133
lstcsta,S,3,100,1,800,800,800,1,16,58,13030645.58,1397633.847
lstcsta,S,3,100,1,800,800,800,1,16,39,12614863.9,1370894.653
lstcsta,S,3,100,1,200,200,200,1,16,8,96065,4794.488135
lstcsta,S,3,100,1,200,200,200,1,16,12,88054.4,640.7330802
lstcsta,S,3,100,1,200,200,200,1,16,12,87546.5,268.9149494
lstcsta,S,3,100,1,200,200,200,1,16,11,87758.34,806.9629387
lstcsta,S,3,100,1,200,200,200,1,16,12,87683.36,773.2225232
lstcsta,S,3,100,1,100,100,100,1,16,4,14509.26,501.1070069
lstcsta,S,3,100,1,100,100,100,1,16,7,14875.72,476.6343689
lstcsta,S,3,100,1,100,100,100,1,16,6,15142.24,46.46786416
lstcsta,S,3,100,1,100,100,100,1,16,5,14888.82,144.4318095
lstcsta,S,3,100,1,100,100,100,1,16,5,15126.9,338.3280804
lstcsta,S,3,100,1,450,450,450,1,16,17,2005234.56,9253.929503
lstcsta,S,3,100,1,450,450,450,1,16,24,884214.78,317396.0258
lstcsta,S,3,100,1,450,450,450,1,16,25,1925075.6,256882.4414
lstcsta,S,3,100,1,450,450,450,1,16,36,1993353.82,16416.33736
lstcsta,S,3,100,1,450,450,450,1,16,24,1388696.74,416083.0215
lstcsta,S,3,100,1,256,256,256,1,16,11,507000.58,4122.641823
lstcsta,S,3,100,1,256,256,256,1,16,12,501072.5,4821.591473
lstcsta,S,3,100,1,256,256,256,1,16,56,509864.74,1423.53103
lstcsta,S,3,100,1,256,256,256,1,16,14,502081.84,2856.673172
lstcsta,S,3,100,1,256,256,256,1,16,13,381408.1,90864.01891
lstcsta,S,3,100,1,400,400,400,1,16,14,1515210.86,72134.9463
lstcsta,S,3,100,1,400,400,400,1,16,30,1059625.04,290110.6894
lstcsta,S,3,100,1,400,400,400,1,16,23,1401944.8,7822.229915
lstcsta,S,3,100,1,400,400,400,1,16,24,968235.16,269663.1647
lstcsta,S,3,100,1,400,400,400,1,16,24,1379097.98,17219.18999
lstcsta,S,3,100,1,224,224,224,1,16,10,234362.02,1639.496978
lstcsta,S,3,100,1,224,224,224,1,16,11,232892.88,434.1600921
lstcsta,S,3,100,1,224,224,224,1,16,15,233889.48,351.6250412
