algorithm,precision,dims,iterations,s,nx,ny,nz,substrate_step,x_tile_size,init_time,time,std_dev
lstcstai,S,3,100,1,192,192,192,1,16,9,74381.4,165.107359
lstcstai,S,3,100,1,160,160,160,1,16,5,40877.66,1311.0727
lstcstai,S,3,100,1,160,160,160,1,16,9,40940.76,131.2371228
lstcstai,S,3,100,1,160,160,160,1,16,9,40942.14,92.91480183
lstcstai,S,3,100,1,160,160,160,1,16,8,40942.62,145.2093509
lstcstai,S,3,100,1,160,160,160,1,16,8,40936.64,104.8377337
lstcstai,S,3,100,1,350,350,350,1,16,13,899300.46,57630.68111
lstcstai,S,3,100,1,350,350,350,1,16,28,856022.68,1571.827579
lstcstai,S,3,100,1,350,350,350,1,16,56,597545.78,271399.1649
lstcstai,S,3,100,1,350,350,350,1,16,17,853607.7,5469.463554
lstcstai,S,3,100,1,350,350,350,1,16,24,855711.74,1030.933088
lstcstai,S,3,100,1,96,96,96,1,16,4,12323.62,1824.533243
lstcstai,S,3,100,1,96,96,96,1,16,7,11844.12,99.20214514
lstcstai,S,3,100,1,96,96,96,1,16,5,11560.08,130.3154388
lstcstai,S,3,100,1,96,96,96,1,16,5,11426.76,41.19201864
lstcstai,S,3,100,1,96,96,96,1,16,5,11429.34,43.31402082
lstcstai,S,3,100,1,128,128,128,1,16,5,28941.36,1107.402344
lstcstai,S,3,100,1,128,128,128,1,16,7,29200.32,132.0330928
lstcstai,S,3,100,1,128,128,128,1,16,8,29603.94,80.58347473
lstcstai,S,3,100,1,128,128,128,1,16,7,29468.36,87.81406721
lstcstai,S,3,100,1,128,128,128,1,16,7,29466.82,67.18919258
lstcstai,S,3,100,1,150,150,150,1,16,5,43305.76,1906.170806
lstcstai,S,3,100,1,150,150,150,1,16,8,43133.82,111.2285377
lstcstai,S,3,100,1,150,150,150,1,16,8,43136.4,99.51381814
lstcstai,S,3,100,1,150,150,150,1,16,8,43167.06,76.68543799
lstcstai,S,3,100,1,150,150,150,1,16,8,43181.44,110.864631
lstcstai,S,3,100,1,250,250,250,1,16,11,409869.48,3492.069296
lstcstai,S,3,100,1,250,250,250,1,16,14,414236.98,1303.429346
lstcstai,S,3,100,1,250,250,250,1,16,14,411558.54,865.7573843
lstcstai,S,3,100,1,250,250,250,1,16,13,411643.44,856.917386
lstcstai,S,3,100,1,250,250,250,1,16,14,414959.66,811.528696
lstcstai,S,3,100,1,300,300,300,1,16,11,523982.02,2246.610687
lstcstai,S,3,100,1,300,300,300,1,16,17,521621.56,856.1819003
