algorithm,precision,dims,iterations,s,nx,ny,nz,substrate_step,init_time,time,std_dev
lstmfppai,D,3,100,1,288,288,288,1,131,944230.62,4877.433911
lstmfppai,D,3,100,1,288,288,288,1,125,517220.2,301287.8073
lstmfppai,D,3,100,1,288,288,288,1,130,944809.66,7512.681486
lstmfppai,D,3,100,1,288,288,288,1,131,943459.46,964.5822352
lstmfppai,D,3,100,1,192,192,192,1,94,276492.64,7493.821113
lstmfppai,D,3,100,1,192,192,192,1,109,268939.68,3783.792586
lstmfppai,D,3,100,1,192,192,192,1,128,268152.84,504.8802773
lstmfppai,D,3,100,1,192,192,192,1,118,265478.48,431.7468351
lstmfppai,D,3,100,1,192,192,192,1,113,267868.46,472.5623857
lstmfppai,D,3,100,1,160,160,160,1,102,68457,1701.377818
lstmfppai,D,3,100,1,160,160,160,1,216,68013.1,69.30894603
lstmfppai,D,3,100,1,160,160,160,1,121,68076.96,76.06916852
lstmfppai,D,3,100,1,160,160,160,1,108,68019.52,69.21856398
lstmfppai,D,3,100,1,160,160,160,1,101,68159.66,109.8707623
lstmfppai,D,3,100,1,350,350,350,1,104,2444861.18,38973.79959
lstmfppai,D,3,100,1,350,350,350,1,139,1864927,464663.4571
lstmfppai,D,3,100,1,350,350,350,1,138,1629996.86,346065.4126
lstmfppai,D,3,100,1,350,350,350,1,127,2053765.74,199426.7506
lstmfppai,D,3,100,1,350,350,350,1,145,2426510.22,51626.24684
lstmfppai,D,3,100,1,96,96,96,1,89,18826.12,954.7062719
lstmfppai,D,3,100,1,96,96,96,1,268,18651.88,65.55048131
lstmfppai,D,3,100,1,96,96,96,1,191,18670.5,66.58175426
lstmfppai,D,3,100,1,96,96,96,1,176,18616.48,37.28068669
lstmfppai,D,3,100,1,96,96,96,1,199,18617.98,37.76532272
lstmfppai,D,3,100,1,128,128,128,1,102,59455.26,1416.23365
lstmfppai,D,3,100,1,128,128,128,1,155,59167.52,70.25275511
lstmfppai,D,3,100,1,128,128,128,1,100,59170.8,63.02348769
lstmfppai,D,3,100,1,128,128,128,1,102,59173.1,68.04035567
lstmfppai,D,3,100,1,128,128,128,1,94,59229.86,296.6632441
lstmfppai,D,3,100,1,150,150,150,1,103,62138.7,1145.46426
lstmfppai,D,3,100,1,150,150,150,1,273,61927,60.94554947
lstmfppai,D,3,100,1,150,150,150,1,136,61949.32,59.92343114
lstmfppai,D,3,100,1,150,150,150,1,113,61629.64,159.3736189
lstmfppai,D,3,100,1,150,150,150,1,120,61689.82,71.50599695
lstmfppai,D,3,100,1,250,250,250,1,102,562209.2,792.9186591
lstmfppai,D,3,100,1,250,250,250,1,110,566170.74,940.7051995
lstmfppai,D,3,100,1,250,250,250,1,111,562902.46,415.9757305
lstmfppai,D,3,100,1,250,250,250,1,114,552926.86,37949.85752
lstmfppai,D,3,100,1,250,250,250,1,120,559248.6,1003.629035
lstmfppai,D,3,100,1,300,300,300,1,1028,1191516.68,18469.47583
lstmfppai,D,3,100,1,300,300,300,1,150,1083962.24,207491.4988
lstmfppai,D,3,100,1,300,300,300,1,143,1190763.96,24110.59413
lstmfppai,D,3,100,1,300,300,300,1,149,1083941.96,77411.28367
lstmfppai,D,3,100,1,300,300,300,1,139,1010595.66,57183.34375
lstmfppai,D,3,100,1,600,600,600,1,133,3627143.06,1510495.868
lstmfppai,D,3,100,1,600,600,600,1,2398,4706460.24,2190461.867
lstmfppai,D,3,100,1,600,600,600,1,697,6602740.56,2632256.901
lstmfppai,D,3,100,1,600,600,600,1,747,8308312.86,126208.9705
lstmfppai,D,3,100,1,600,600,600,1,187,8519023.88,655158.7585
lstmfppai,D,3,100,1,800,800,800,1,800,9612556.74,1649882.415
lstmfppai,D,3,100,1,800,800,800,1,713,13803760.82,5632428.922
lstmfppai,D,3,100,1,800,800,800,1,596,14048746.48,5880106.722
lstmfppai,D,3,100,1,800,800,800,1,1156,14378189.12,7324565.19
lstmfppai,D,3,100,1,800,800,800,1,1353,16761047.38,3788585.303
lstmfppai,D,3,100,1,200,200,200,1,97,257858.56,2959.220027
lstmfppai,D,3,100,1,200,200,200,1,123,258393,243.2334681
lstmfppai,D,3,100,1,200,200,200,1,121,257652.96,167.8363441
lstmfppai,D,3,100,1,200,200,200,1,113,259220.58,1160.25668
lstmfppai,D,3,100,1,200,200,200,1,166,258118.16,1659.221738
lstmfppai,D,3,100,1,100,100,100,1,97,19708.56,863.2913798
lstmfppai,D,3,100,1,100,100,100,1,215,19206.96,81.8745284
lstmfppai,D,3,100,1,100,100,100,1,172,19218.58,44.32069043
lstmfppai,D,3,100,1,100,100,100,1,177,19249.36,74.92096102
lstmfppai,D,3,100,1,100,100,100,1,178,19298.36,56.77772803
lstmfppai,D,3,100,1,450,450,450,1,148,2232071.4,1047151.87
lstmfppai,D,3,100,1,450,450,450,1,151,2766946.2,206823.6361
lstmfppai,D,3,100,1,450,450,450,1,349,3897361.3,58535.32939
lstmfppai,D,3,100,1,450,450,450,1,174,3865970.52,47413.7283
lstmfppai,D,3,100,1,450,450,450,1,197,1874387.44,710482.8985
lstmfppai,D,3,100,1,256,256,256,1,127,1097303.26,4004.973232
lstmfppai,D,3,100,1,256,256,256,1,117,1085059.82,11187.67289
lstmfppai,D,3,100,1,256,256,256,1,128,482872.32,68027.65697
lstmfppai,D,3,100,1,256,256,256,1,120,1103976.82,13013.17055
lstmfppai,D,3,100,1,256,256,256,1,125,1112367.88,4554.385257
lstmfppai,D,3,100,1,400,400,400,1,105,2227082.78,583735.4884
lstmfppai,D,3,100,1,400,400,400,1,150,2186357.12,371581.9132
lstmfppai,D,3,100,1,400,400,400,1,137,1948203.74,623107.9778
lstmfppai,D,3,100,1,400,400,400,1,153,1528287.78,1051899.763
lstmfppai,D,3,100,1,400,400,400,1,136,2846903.46,118261.603
lstmfppai,D,3,100,1,224,224,224,1,171,390306.2,4522.288509
lstmfppai,D,3,100,1,224,224,224,1,148,389609.78,814.5585133
lstmfppai,D,3,100,1,224,224,224,1,142,390647.1,372.5192747
lstmfppai,D,3,100,1,224,224,224,1,181,388617.06,403.1832541
lstmfppai,D,3,100,1,224,224,224,1,133,390267.1,605.5315764
lstmfppai,D,3,100,1,550,550,550,1,122,3099751.88,1522095.378
lstmfppai,D,3,100,1,550,550,550,1,474,3278163.84,774105.3783
lstmfppai,D,3,100,1,550,550,550,1,462,4102294.44,1775816.458
lstmfppai,D,3,100,1,550,550,550,1,1846,5736399.42,1956473.104
lstmfppai,D,3,100,1,550,550,550,1,668,7034437.32,103972.5724
