algorithm,precision,dims,iterations,s,nx,ny,nz,empty,init_time,time,std_dev
lstcss,D,3,100,1,64,64,64,1,6,21240.62,42.76675812
lstcss,D,3,100,1,500,500,500,1,21,3992574.6,1756719.262
lstcss,D,3,100,1,500,500,500,1,29,4338081.08,1373673.465
lstcss,D,3,100,1,500,500,500,1,30,6969526.64,2426471.689
lstcss,D,3,100,1,500,500,500,1,28,8711822.7,79604.08352
lstcss,D,3,100,1,500,500,500,1,29,7134942.52,1551280.92
lstcss,D,3,100,1,1000,1000,1000,1,39,30462547.14,5332445.553
lstcss,D,3,100,1,1000,1000,1000,1,56,39816734.92,21996791.4
lstcss,D,3,100,1,1000,1000,1000,1,51,33094642.48,6809656.094
lstcss,D,3,100,1,1000,1000,1000,1,53,40470676.96,23827133.75
lstcss,D,3,100,1,1000,1000,1000,1,78,48766658.1,23944663.34
lstcss,D,3,100,1,50,50,50,1,1,13370.86,740.4039711
lstcss,D,3,100,1,50,50,50,1,5,12223.64,73.17178691
lstcss,D,3,100,1,50,50,50,1,4,12087.88,93.4065608
lstcss,D,3,100,1,50,50,50,1,4,12193.68,95.5333324
lstcss,D,3,100,1,50,50,50,1,4,12172,88.07133472
lstcss,D,3,100,1,288,288,288,1,12,2051198.16,25058.57176
lstcss,D,3,100,1,288,288,288,1,19,937837.38,340490.4497
lstcss,D,3,100,1,288,288,288,1,18,2094537.06,41842.65283
lstcss,D,3,100,1,288,288,288,1,19,976248.62,282417.1123
lstcss,D,3,100,1,288,288,288,1,20,2056333.34,22993.34215
lstcss,D,3,100,1,192,192,192,1,295,1319283.9,39565.28101
lstcss,D,3,100,1,192,192,192,1,13,1131401.34,219562.6181
lstcss,D,3,100,1,192,192,192,1,14,1277971.9,35222.02893
lstcss,D,3,100,1,192,192,192,1,14,1279363,35229.71038
lstcss,D,3,100,1,192,192,192,1,13,1097724.14,35300.92572
lstcss,D,3,100,1,160,160,160,1,7,241216.46,5071.937185
lstcss,D,3,100,1,160,160,160,1,8,244362.98,889.8696194
lstcss,D,3,100,1,160,160,160,1,9,244145.88,638.7550592
lstcss,D,3,100,1,160,160,160,1,10,244213.9,725.7578177
lstcss,D,3,100,1,160,160,160,1,8,244211.68,768.1546053
lstcss,D,3,100,1,350,350,350,1,14,4764881.82,1513868.212
lstcss,D,3,100,1,350,350,350,1,20,3840755.46,813312.8796
lstcss,D,3,100,1,350,350,350,1,21,6246354.14,201441.7946
lstcss,D,3,100,1,350,350,350,1,26,4845827.74,286430.1182
lstcss,D,3,100,1,350,350,350,1,23,5593851.68,659360.9624
lstcss,D,3,100,1,96,96,96,1,3,36050.76,751.0272048
lstcss,D,3,100,1,96,96,96,1,8,35091.26,103.5006879
lstcss,D,3,100,1,96,96,96,1,7,34684.32,93.03686151
lstcss,D,3,100,1,96,96,96,1,6,34606.4,95.92830656
lstcss,D,3,100,1,96,96,96,1,8,34568.72,105.2192074
lstcss,D,3,100,1,128,128,128,1,5,281238.74,1438.168026
lstcss,D,3,100,1,128,128,128,1,8,280043.54,289.4569543
lstcss,D,3,100,1,128,128,128,1,8,280195.4,313.5984694
lstcss,D,3,100,1,128,128,128,1,9,280090.9,397.7214226
lstcss,D,3,100,1,128,128,128,1,7,280076.02,475.4310671
lstcss,D,3,100,1,150,150,150,1,6,118469.62,4065.250781
lstcss,D,3,100,1,150,150,150,1,9,116880.66,258.7428538
lstcss,D,3,100,1,150,150,150,1,8,116797.66,261.6514942
lstcss,D,3,100,1,150,150,150,1,8,116834.4,277.027652
lstcss,D,3,100,1,150,150,150,1,8,116612.42,327.4363505
lstcss,D,3,100,1,250,250,250,1,10,684018.1,3316.771956
lstcss,D,3,100,1,250,250,250,1,52,677778,2529.167491
lstcss,D,3,100,1,250,250,250,1,13,672439.46,1355.854125
lstcss,D,3,100,1,250,250,250,1,13,539311.58,77583.95946
lstcss,D,3,100,1,250,250,250,1,15,729542.64,4071.619401
lstcss,D,3,100,1,300,300,300,1,12,1267119.98,9029.95469
lstcss,D,3,100,1,300,300,300,1,17,1159626.82,165604.4435
lstcss,D,3,100,1,300,300,300,1,19,1260220.44,10321.04624
lstcss,D,3,100,1,300,300,300,1,19,1254914.52,11917.87723
lstcss,D,3,100,1,300,300,300,1,19,923443.58,46424.80267
lstcss,D,3,100,1,600,600,600,1,24,6104809.08,2782372.603
lstcss,D,3,100,1,600,600,600,1,32,12083432.84,5304625.712
lstcss,D,3,100,1,600,600,600,1,38,17509434.96,292936.0967
lstcss,D,3,100,1,600,600,600,1,37,15349220.7,1085936.355
lstcss,D,3,100,1,600,600,600,1,32,15603948.94,973349.2055
lstcss,D,3,100,1,800,800,800,1,114,34904466.76,5493461.21
lstcss,D,3,100,1,800,800,800,1,41,37869862.48,12685021.49
lstcss,D,3,100,1,800,800,800,1,41,54203968.78,8383427.827
lstcss,D,3,100,1,800,800,800,1,41,65284423.78,6046539.27
lstcss,D,3,100,1,800,800,800,1,40,53874121.9,9449692.2
lstcss,D,3,100,1,200,200,200,1,9,334734.6,5677.432561
lstcss,D,3,100,1,200,200,200,1,14,330046.04,564.4153067
lstcss,D,3,100,1,200,200,200,1,13,333525.54,816.4698944
lstcss,D,3,100,1,200,200,200,1,12,329327.86,553.453666
lstcss,D,3,100,1,200,200,200,1,12,332912,948.1161532
lstcss,D,3,100,1,100,100,100,1,4,52452.02,790.6936572
lstcss,D,3,100,1,100,100,100,1,7,50579.66,287.3195858
lstcss,D,3,100,1,100,100,100,1,7,50485.14,281.8847999
lstcss,D,3,100,1,100,100,100,1,6,50429.74,252.3062274
lstcss,D,3,100,1,100,100,100,1,11,50656.46,247.2206472
lstcss,D,3,100,1,450,450,450,1,18,3500293.66,1052638.356
lstcss,D,3,100,1,450,450,450,1,24,3352573.94,617602.6715
lstcss,D,3,100,1,450,450,450,1,22,5195938.86,79920.41442
lstcss,D,3,100,1,450,450,450,1,25,4295807.16,499036.3842
lstcss,D,3,100,1,450,450,450,1,23,5154839.82,84238.123
lstcss,D,3,100,1,256,256,256,1,13,5624071.88,1351268.584
lstcss,D,3,100,1,256,256,256,1,17,4578902.44,1542502.088
lstcss,D,3,100,1,256,256,256,1,18,4616516.24,1585566.874
lstcss,D,3,100,1,256,256,256,1,14,5337178.84,1569740.512
lstcss,D,3,100,1,256,256,256,1,18,6029903.04,380373.0312
lstcss,D,3,100,1,400,400,400,1,16,2711548.9,1528479.281
lstcss,D,3,100,1,400,400,400,1,27,2258728.36,1170230.082
lstcss,D,3,100,1,400,400,400,1,27,3456934.96,748284.8062
lstcss,D,3,100,1,400,400,400,1,25,4500586.86,859340.4789
lstcss,D,3,100,1,400,400,400,1,26,4695984.2,62805.4018
lstcss,D,3,100,1,224,224,224,1,11,1047984.04,22514.47254
lstcss,D,3,100,1,224,224,224,1,14,983321.72,18446.71762
lstcss,D,3,100,1,224,224,224,1,13,518599.98,208893.9817
lstcss,D,3,100,1,224,224,224,1,14,999668.22,15401.59789
lstcss,D,3,100,1,224,224,224,1,16,1047447.9,11595.18473
lstcss,D,3,100,1,550,550,550,1,34,5998526.7,1906813.671
lstcss,D,3,100,1,550,550,550,1,31,10922391.6,1811590.967
lstcss,D,3,100,1,550,550,550,1,31,10964725.78,240481.6938
lstcss,D,3,100,1,550,550,550,1,33,9832563.78,2772262.348
lstcss,D,3,100,1,550,550,550,1,32,11263039.62,357933.2959
